한글단어명,영문단어명,단어 전체 명,단어 설명
임야,WDLAND,WOODLAND,"측량·수로조사 및 지적에 관한 법률에 따른 지목의 종류 중 하나로 산림 및 들판을 이루고 있는 숲, 습지, 황무지 등의 토지를 말한다. "
임용,EMPL,EMPLOYMENT,
임원,DRTR,DIRECTOR,
임의,OPT,OPTION,
임차,LESE,LEASE,
입고,IST,IN STORE,
입관,ETRSD,ENTER RESIDENCE,
입국,ENCO, ENTER A COUNTRY,
입금,RCIPT,RECEIPT ,
입대,ENST,ENLIST,
입력,INPT,INPUT,
입력자,INPTR,UNDEFINED,
입목죽,STDTREE,STANDING TREE,
입방,CUBE,CUBE,
입사,JOIN_CO,JOIN THE COMPANY,
입상,PRIZ,PRIZ,
입시,ENEXAM,ENTRANCE EXAMINATION,
입실,CHKIN,CHECK IN,
입양,CHDADPT,CHILD ADOPTION,
입영,ENST,ENLIST,
입원,HSPLZ,HOSPITALIZATION,
입찰,BID,BID,
입찰설명회,BDFAIR,BID FAIR,
입출,IO,IN OUT,
입학,ENTR,ENTRANCE,
입학사정관,ADMS_OFCR,ADMISSIONS OFFICER,
입회,ADMSS,ADMISSION,
자,PSN,PERSON,"지역이나 단체를 나타내는 명사 뒤에 쓰여, 그 지역이나 단체 출신임을 나타내는 사람."
자가,SLF,SELF,
자가용,OWNCAR,A PRIVATELY-OWNED CAR,
자격,QUAL,QUALITY,
자격증,LIC,LICENSE,
자금,TRSR,TREASURY,
자기,SELF,SELF,
자녀,CHILD,CHILDREN,
자녀양육,BRED,BREED CHILDREN,
자동,AUTO,AUTO,
자료,DATA,DATA,
자릿수,CIPR,CIPR,
자매결연,SISHOD,SISTERHOOD,
자본,CPTL,CAPITAL,
자산,ASST,ASSET,
자연,NATU,NATURE,
자원,RES,RESOURCE,
자유,FREE,FREE,
자재,RSC,RESOURCE,
자체,INT,INTERNAL,
자치단체,SGVC,A SELF-GOVERNING COMMUNITY,
자치회,CONCL,COUNCIL,
자타,ONOT,ONESELF AND OTHERS,
자택,PRVT_HOME,PRIVATE HOME,
자퇴,LEAV,LEAVE,
작가,WRTR,WRITER,
작문,WRITE,WRITING,
작성,DRWUP,DRAWING UP,
작성자,DRWUPR,UNDEFINED,
작업,WK,WORK,
작업자,WKR,A WORKER,
작전,OPR,OPERATION,
작품,PRDT,PRODUCT,
잔고,REMA,REMAIN,
잔액,BALN,BALANCE,[殘額]쓰고 남은 돈의 액수
잔여,REST,REST,
잔존,SURV,SURVIVAL,
잠재,LATNC,"LATENCY, POTENTIALITY",
잡,PT,PETTY (EXPENSES),
잡매거진,JBMGN,JOB MAGAZINE,
잡지,MGZ,MAGAZINE,
장,CHAP,CHAPTER,
장,MNGR,MANAGER,
장기,LNTM,LONG TERM,
장단기,LSTM,LONG/SHORT TERM,
장려,ENC,ENCOURAGEMENT,
장례,FUNE,FUNERAL,
장례비,FNAMT,FUNERAL AMOUNT,
장부,BOOK,BOOK,
장비,EQM,EQUIPMENT,
장소,PL,PLACE,어떤 일이 이루어지거나 일어나는 곳
장애,HIND,HINDRANCE,
장애인,HANDICAP,THE PHYSICALLY HANDICAPPED(PERSON),
장점,STRNTH,STRENGTH,장점
장치,EQM,EQUIPMENT,
장학,SCAL,SCHOLARSHIP,
재,RE,RE,다시
재고,STC,STOCK,창고에 있는 물건. 재고품
재단,FND,FOUNDATION,
재료,MAT,MATERIAL,
재무,FINCL,FINANCIAL,
재물,PROP,PROPERTY,
재발급,RISSU,RE ISSUE,
재산,PROP,PROPERTY,
재심,NWTRL,NEW TRIAL,
재원,FNRE,FINANCIAL RESOURCE,
재임,INOFC,BEING IN OFFICE,
재적,ENROL,ENROLLMENT,
재직,HOOF,HOLDING OFFICE,
재평위,NWTRAPCM,NEW TRIAL APPRAISAL COMMITEE,
재하,STCK,STOCK,
재학,HOSH,HOLDING SCHOOL,
재형,PRT,PROPERTY,
재화,PROP,PROPERTY,
저널,JRNL,JOURNAL,
저녁,EVENG,EVENING,
저당,MOG,MORTGAGE,
저명학술지,JRNL,JOURNAL,
저서,BOOK,BOOK,
저술,WRITE,WRITING,
저자,AUTH,AUTHOR,
저작권,CPRT,COPYRIGHT ,
저작권자,CPRTR,UNDEFINED,
저장,SAVE,SAVE,
저촉,CONFLI,CONFLICT,
저축,SAV,SAVINGS,
적부,FTNS,FITNESS,
적부심사위원,SCRN_COMM,SCREENING  COMMITTEEMAN,
적성,APTTD,APTITUDE,
적요,SMRY,SUMMARY,
적용,ADPT,ADOPTION,
적재,LD,LOAD,
적합,FIT,FIT,
전,BF,BEFORE,
전공,MJ,MAJOR,
전공선택,ESFM,ELECTIVE SUBJECT FOR MAJOR,어느 한 분야를 전문적으로 연구하는데 선택적인 요소
전공필수,RSFM,REQUISITE SUBJECT FOR MAJOR,어느 한 분야를 전문적으로 연구하는데 꼭 필요한 요소
전과,CSUST,CHANGE SUBJECT OF STUDY,
전근무지,BSIT,BEFORE SITE,
전기,BIOGRP,BIOGRAPHY,
전기,EL,ELECTRICAL,
전기말,EFHY,END OF THE FISRT HALF YEAR,
전달,DLV,DELIVERY,
전담,FLCHG,FULL CHARGE,
전력,ELPWR,ELECTRIC POWER,
전류,AMMET,AMMETER,
전망,PRSP,PROSPECT,
전문,SPT,SPECIALTY,
전문가,SPLST,SPECIALIST,
전반,CCLSS,CHANGE OF CLASS,
전보,TRANS,TRANSFER,
전산,CMPR,COMPUTER,
전송,SEND,SENDING,
전신환,TTR,"TELEGRAPH TRANSFER RATE, TELEGRAPH MONEY ORDER",
전압,VOLT,VOLTAGE,
전액,FUL,FULL,
전역,DCMI,DISCHARGE FROM MILITARY SERVICE,
전용,DVRS,DIVERSION,
전원,PWR,POWER,
전월,PRVMM,PREVIOUS MONTH,
전일,PREVDAY,PREVIOUS DAY,
전임,FLTM,FULL-TIME,
전입,MVIN,MOVING IN,
전자,EL,ELECTRICAL,
전자계산서,EBILL,ELECTRONIC BILL,
전자메일,EMAIL,EMAIL,
전자우편,EMAIL,EMAIL,
전자칠판,ELBKBD,ELECTRONIC BLACKBOARD,
전집,CPTWK,COMPLETE WORKS,
전체,TT,TOTAL,
전출,MVOT,MOVING OUT,
전출입,MVIO,MOVING IN  OUT,
전투,CMBT,COMBAT,
전표,SLIP,SLIP,
전학,CHCOL,CHANGE OF COLLEGE,
전형,SELT,SELECTION,사람의 됨됨이나 재능 따위를 가려서 뽑음
전화,TEL,TELEPHONE,전화기로 말을 주고받는 일
전화기,TEL,TELEPHONE,
전화번호,TELNO,TELEPHONE NUMBER,가입된 전화마다 매겨져 있는 일정한 번호.
전환,CHG,CHANGE,
전후기,BFAF,BEFORE AFTER,
절반,HF,HALF,
절차,PROC,"PROCESS, PROCEDURE",
점,SCOR,SCORE,
점검,CHCK,CHECK,
점수,SCOR,SCORE,성적을 나타내는 숫자.
점심,LUNCH,LUNCH,
점유,OCCPTN,OCCUPATION,
접근,ACCES,ACCESS,
접두사,PRE,PREFIX,
접미사,SUF,SUFFIX,
접속,CONN,CONNECT,
접수,RECV,RECEIVE,
접수자,RECVR,UNDEFINED,
정,MA,MAIN,
정가,PRC,THE PRICE,
정규,REGU,REGULARITY,
정규직,RGJOB,REGULAR JOB ,
정근,RGWK,REGULAR[GOOD] ATTENDANCE,
정기,FIX,FIXED,
정년,ALMT,RETIREMENT AGE,
정답,ANSR,ANSWER,
정당,PTY,PARTY,
정도,GRD,GRADE,
정량,FQTY,A FIXED QUANTITY,
정량정성,QUEM,QUANTITATIVE AND EMOTIONAL,
정렬,SORT,SORT,
정리,ARNG,ARRANGE,
정보,INFO,INFORMATION,관찰이나 측정을 통하여 수집한 자료를 실제 문제에 도움이 될 수 있도록 정리한 지식 또는 그 자료
정보화기기,INFMCHN,INFORMATION MACHINE,
정부,GVRNT,GOVERNMENT,
정비,REPA,REPAIR,
정산,SETT,SETTLEMENT,
정상,NOR,NORMAL,
정시,NOR,NORMAL,
정신,SPRT,SPRIT,정신
정액,PRC,THE PRICE,
정원,CAPA,CAPACITY,[定員] 특정 분야의 인원에 대하여 정해 놓은 범위
정의,DEF,DEFINITION,
정적,STATIC,STATIC,
정정,MOD,MODIFY,
정지,STOP,STOP,
정치,POLITICS,POLITICS,
제,YNBRO,YOUNGER BROTHER,
제1,PRIM,PRIME,
제2,SECOND,SECOND,
제공,PRFR,PROFFER,
제대,DCMI,DISCHARGE FROM MILITARY SERVICE,
제목,TTL,TITLE,"[題目]작품이나 저작, 강연 등에서 그 내용을 보이거나 대표하기 위하여 붙이는 이름"
제본,BOOKBD,BOOKBINDING,
제시,PPS,PROPOSAL,
제안,PPS,PROPOSAL,
제약,COND,CONDITION,
제언,PPS,PROPOSAL,
제외,EXCP,EXCEPTION,
제작,MAKE,MAKE,
제적,REMV,REMOVAL,
제조,MAKE,MAKE,
제청,RCMD,RECOMMEND,
제출,SUBM,SUBMIT,
제출자,SUBMR,UNDEFINED,
제품,PRDT,PRODUCT,
제한,LMT,LIMIT,
조,PARA,PARAGRAPH,
조건,COND,CONDITION,
조경,LNDSC,LANDSCAPE,
조교,ASSTCR,ASSISTANT TEACHER,
조기,EALY,EARLY,
조달,SUPP,SUPPLEMENT,
조림,AFRSTN,AFFORESTION,
조모,GRNMOM,GRANDMOTHER,
조부,GRNFA,GRANDFATHER,
조사,INVEST,INVESTIGATION,
조서,PROT,PROTOCOL,
조성,FRMT,FORMATION,
조세특례법,TSLL,TAX SPECIAL LIMIT LAW,
조세특례제한법,TSLL,TAX SPECIAL LIMIT LAW,
조식,BRFT,BREAKFAST,
조정,ADJ,ADJUST,
조직,FORMA,ORGANIZATION,
조치,DISPO,DISPOSAL,
조퇴,LEV,LEAVING WORK EARLY,
조판,CPST,COMPOSITION,
조합,SOCT,A SOCIETY,
조형,ARTI,ARTIFICIAL,
조회,INQ,INQUIRY,
존속,CNTI,CONTINUITY,
존재,EXIST,EXISTENCE,
졸업,GRDT,GRADUATION,
종강,ENOSH,END OF SCHOOL,
종결,FNSH,FINISH,
종교,RELI,RELIGION,
종료,TO,TO,
종류,KND,KIND,
종목,EVNT,EVENT,
종별,CLSF,CLASSIFICATION,
종속,SUB,(PREFIX) ~ UNDER,
종업원,EMP,EMP,
종이,PP,PAPER,
종파,REL_SECT,SECT OF RELIGION,
종합,GNR,GENERALIZATION,
좌,LF,LEFT,
좌석,SEAT,SEAT,
좌측,LF,LEFT,
주,MA,MAIN,
주,WEK,WEEK,
주간,DAYTM,DAYTIME,
주거,HSNG,HOUSING,
주관,MNGT,MANAGEMENT,
주관식,SBJTV,SUBJECTIVE,
주관적,SBJTV,SUBJECTIVE,
주기,PERD,PERIOD,
주둔,STNG,STATIONING,
주례,OFFI,OFFICIATING,
주말,WEK_END,WEEK END,
주문,ORDER,ORDER,주문
주문신청,ORD_APLY,ORDER APPLY,
주문자,ORD_PSN,ORDER PERSON,
주민,RESDNT,RESIDENT,
주민등록번호,RES_NO,RESIDENT NUMBER,"주민 등록을 할 때에, 국가에서 국민에게 부여하는 고유 번호."
주민번호,RES_NO,RESIDENT NO,
주민세,IHTAX,INHABITANTS TAX ,
주변,SURDNGS,SURROUNDINGS ,
주석,CMMT,COMMENT,
주소,ADDR,ADDRESS,"사람이 살고 있는 곳이나 기관, 회사 따위가 자리잡고 있는 곳을 행정 구역으로 나타낸 것, 임금에게 글을 올리다"
주식,PRPFD,PRINCIPAL FOOD,
주식,STCS,STOCKS,
주야,DAN,DAY AND NIGHT,
주요,MA,MAIN,
주임,MNGR,MANAGER,
주입,INJE,INJECT,
주제,THEME,THEME,
주차,PRKNG,PARKING,
주체자,HOST,HOST,주체자
주최,SPSHIP,SPONSORSHIP,
주택,HOUS,HOUSE,
주택마련저축,HSSV,HOUSE SAVINGS,
주택자금,HSFND,HOUSE FUND,
주파수,FREQU,FREQUENCY,
주행,DRIV,DRIVING,
준공,CMPLT,COMPLETION,
준비,PREP,PREPARE,
준비물,PREPS,PREPARATION,
줄,LN,LINE,
줄임,SHRT,SHORT,
중,DURI,DURING,
중,MID,MIDDLE,
중간,MID,MIDDLE,
중간고사,MEXM,MIDDLE EXAMINATION,
중기,MIDTM,MIDDLE TERM,
중대,SQUA,SQUADRON,"군대 편성 단위의 하나. 소대의 위, 대대의 아래이다"
중량,WGT,WEIGHT,
중복,DUP,DUPLICATE,
중복공제,DPDD,DUPLICATION DEDUCTION,
중분류,MCLSF,MIDDLE CODE,
중식,LNCH,LUNCH,
중앙,CEN,CENTER,
중요,MAIN,MAIN,
중장비,HEAVY_EQUIP,HEAVY EQUIPMENT,
중점,MAIN,MAIN,
중지,STOP,STOP,하던일을 중도에서 그만 둠
중핵,CORE,THE CORE,
증가,INCR,INCREASE,
증감,INDE,INCREASE & DECREASE,
증권,SEC,SECURITIES,
증명,CERTE,CERTIFICATE,
증명서,CERT,CERT,
증명서발급번호,CERT_ISSUE_NO,UNDEFINED,
증빙,PROOF,PROOF,
증상,SYMPT,SYMPTOMS,
증서,DED,DEED,
증액,INCR,INCREASE,
증정,PRST,PRESENT,
증축,ENLARG,ENLARGEMENT,
지,PL,장소(PLACE),
지가,LANDPRC,THE PRICE[VALUE] OF LAND,
지각,LATE,LATENESS,
지급,PAY,PAY,
지도,GUID,GUIDANCE,"가르침,예)지도편달."
지도,MAP,MAP,
지도교수,ADVR,AN ADVISER,지도교수
지로,GIRO,GIRO,
지망,DESR,DESIRE,
지목,LASE,LAND PURPOSE,
지방,LOCL,LOCALITY,
지배인,MNGR,MANAGER,
지번,LADR,LAND ADDRESS,
지병,DISS,CHRONIC DISEASE,
지분,OWN,OWNERSHIP,
지불,PYMT,PAYMENT,지불
지붕,ROOF,ROOF,
지상,OVGR,OVER GROUND,
지수,INDEX,INDEX,인덱스
지시,INDICA,INDICATION,
지식,KNLG,KNOWLEDGE,
지역,LCAL,LOCAL,일정하게 구획된 어느 범위의 토지
지역,STT,SITE,
지연,DELAY,DELAY,
지원,APLY,APPLY,
지원,SUPP,SUPPLEMENT,
지원자,APLIER,APPLIER,
지적,ACR,ACRE,"땅 넓이의 단위를 나타내는 말, 1에이커는 대략 4, 047제곱미터이며 기호는 ac이다"
지점,BRAN,BRANCH,
지정,APNT,APPOINTMENT,
지질,QTPP,THE QUALITY OF PAPER ,
지청,BRAN,BRANCH,
지체,DELY,DELAY,
지체상금,DLYPNLT,"DELAY PENALTY
",
지출,EXP,EXPENSE,
지침,GUID,GUIDANCE,
지표,INDEX,INDEX,인덱스
지하,UNGR,UNDERGROUND,
직,POSI,"DEPARTMENT, POSITION",
직군,WKPG,WORK POSITION GROUP ,
직급,WKGD,WORK GRADE,
직렬,WKSP,WORK SPECIES,
직류,WKPART,WORK PART,곧은 흐름.
직무,DUTY,DUTY,
직불,DEBIT,DEBIT,
직업,JOB,JOB,
직열,WKROW,WORK ROW,
직원,EMP,EMP,
직위,WKPO,WORK POSITION,
직장,WKPL,WORK PLACE,
직전,BF,BEFORE,없는 단어
직접비,DRCST,DIRECTR COST,
직종,BIZTP,BUSINESS TYPE,
직책,WKDTY,WORK DUTIES,
진급,PRMT,PROMOTION,
진단,DIAG,DIAGNOSIS,
진도,PRGRE,PROGRESS,
진로,COURSE,COURSE,
진료,MEDI,MEDICAL EXAMINATION,
진보,PROG,PROGRESS,
진입,ENTR,ENTRANCE,
진품,TRGD,TRUE GOODS,
진학,ENTR,ENTRANCE,
진행,PROG,PROGRESS,
진흥,PRMT,PROMOTION,
질문,QST,QUESTION,
질병,DSS,DISEASE,
질의,QST,QUESTION,
질적,QUALTIV,QUALITY,
집,HOME,HOME,
집중,CNCTR,CONCENTRATION,集中 한군데로 모이거나 한군데로 모음
집필,WRITE,WRITING,
집합,GATH,GATHER,
집행,EXEC,EXECUTION,
징계,PNSH,PURNISH,
징수,COLT,COLLECTION,
쪽,PAGE,PAGE,
차,CAR,CAR,
차,ORD,ORDER,
차감,SBTR,SUBTRACTION,"서로 견주어서 덜어 내다, "
차관,DBT,DEBT,
차기,NXT,NEXT,
차대번호,VIN,VEHICLE IDENTIFICATION NUMBER,"자동차의 bonet안에 크로스멤버나 대시패널부에 그 자동차마다 이름표와 같은 차대번호(Vehicle Identification Numer)판이 부착되어 있다. 차량번호, 차량식별번호라고도 하는 이것은 차량의 도난방지와 차량 결함을 추척하기 위한 일종의 꼬리표다."
차량,CAR,CAR,
차변,DR,DEBIT,
차수,SEQ,SEQUENCE,순서대로 매겨지는 번호
차이,DIFF,DIFFERENCE,
차인,SBTR,SUBTRACTION,
차입,LOAN,LOAN,
차입금,LOAMT,LOAN AMOUNT,
차종,CAR_MDL,CAR MODEL,
착공,BGN,BEGINNING,
착수,BGN,BEGINNING,
착신,RCPT,RECEIPT,
참가,ATNDC,ATTENDANCE,
참가자,ATNDCR,ATTENDANCER,
참고,REF,REFERENCE,
참석,ATNDC,ATTENDANCE,
참석자,ATNDCR,ATTENDANCER,
참여,PARTICI,PARTICIPATION,
참여자,PARTICIR,UNDEFINED,
참조,REF,REFERENCE,
창간,LAUN,LAUNCH,
창구,WDW,A WINDOW,
창설,FONDT,FOUNDATION,
창원,CHWON,CHANG WON,창원
창의성,CRTV,CREATIVITY,
창작,CRE,CREATION,
채권,BOND,BOND,
채납,ADMT,ADMITTED,
채널,CHNL,CHANNEL,채널
채번,ORDL,ORDINAL,
채용,EMPL,EMPLOYMENT,
채점,MRK,MARKING,
채점자,SCRER,SCORER,
책상,DESK,DESK,
책임,DUTY,DUTY,
책임감,RSPS,REPONSIBILITY,
책임자,DUTYR,A PERSON IN DUTY,
책정,FIXNG,FIXING,
처,FACT,A FACULTY,
처,PL,장소(PLACE),
처리,TRET,TREATMENT,
처방,PRESCR,PRESCRIPTION,
처분,TRET,TREATMENT,
처우,TRET,TREATMENT,
처치,TRT,TREAT,
천정,ZENITH,ZENITH,
철도,RAIL,RAILROAD,
첨부,ATCH,ATTACH,안건이나 문서 따위를 덧붙임
청,ADM,ADMINISTRATION,
청각,HEAR,THE SENSE OF HEARING,
청구,DMND,DEMAND,
청력,HEAR,THE SENSE OF HEARING,
청부,UNDTAK,UNDERTAKING,
청약,SUBSCRP,SUBSCRIPTION,
체격,PHYQ,PHYSIQUE,
체결,CONCU,CONCLUSION,
체계,SYSTEM,SYSTEM,
체력,PSTRNG,PHYSICAL STRENGTH,
체력단련,PHYTRN,"PHYSICAL TRAINING
",
체류,STAY,STAY,
체류지,STAYPL,STAYING PLACE,
체온,TMPR,"TEMPARATURE,TEMPORARY",
체육,SPORTS,SPORTS,
체중,WGT,WEIGHT,
체험,EXPE,EXPERIENCE,
초,SCNDS,SECONDS,"1분을 60등분한 시간
 [접사]｛일부 명사 앞에 붙어｝ ‘어떤 범위를 넘어선’ 또는 ‘정도가 심한’의 뜻을 더하는 접두사"
초과,EXCE,EXCESS,
초기,INI,INITIAL,
초등,ELM,ELEMENTARY,
초록,SMR,SUMMARY,
초빙,INVIT,INVITATION,
초심,FTTRL,FIRST TRIAL,
초안,DRAFT,DRAFTING,
초중고,EMH,ELEMENTARY MIDDLE HIGH,
초진,FSMEDI,THE FIRST MEDICAL EXAMINATION,
초청,INVIT,INVITATION,
총,TT,TOTAL,
총괄,WHOLE,GENERLIZATION,
총무,GNAF,GENERAL AFFAIRS,
총서,SERI,A SERIES,
총설,GNRRMKS,GENERAL REMARKS,
총장,CHANC,CHANCELLOR,
총점,TT_SCOR,TOTAL SCORE,
촬영,PHTGP,PHOTOGRAPHING,
최고,BEST,BEST,
최근,LTST,THE LATEST,
최대,MAX,MAXIMUM,
최소,MIN,MININUM,
최신,LTST,THE LATEST,
최저,MIN,MININUM,
최종,FL,FINAL,
최초,INI,INITIAL,
추가,ADD,ADDITION,
추경,ABUDG,ADD BUDGET,
추경예산,ABUDG,ADD BUDGET,
추론,DEDUCT,DEDUCT,미루어 생각하며 논의함..
추리,DEDUCT,DEDUCT,
추정,PRESU,PRESUMPTION,
추진,PROPU,PROPULSION,
추천,RCOM,RECOMMENDATION,
추천자,RCOMR,UNDEFINED,
출,OUT,OUT,
출강,LT,LECTURE,
출결,ATND,ATTENDANCE,
출고,OUST,OUT STORE,
출국,DECO,DEPART COUNTRY,
출근,ATDC,ATTENDANCE,
출금,OUAMT,OUT AMT,
출급,OUST,OUT STORE,
출납,PYMNT,PAYMENTS,
출력,PRN,PRINT,
출발,FR,FROM,
출산,CHDBIRTH,CHILD BIRTH,
출생,BIRTH,BIRTH,
출석,ATND,ATTEND,
출석부,ATT_BOOK,ATTENDANCE BOOK,
출신,NATV,A NATIVE,
출연금,CNTRB,CONTRIBUTION,
출원,APPL,APPLICATION,
출자,FINC,FINANCING,
출장,BSTR,BUSINESS TRIP,
출전,PATICIPA,PARTICIPATION,
출제위원,EXAMINER,EXAMINER,
출판,PUBL,PUBLICATION,
출판사,PUBL_CO,A PUBLISHING COMPANY,
충당,ALLOC,ALLOCATE,
충실도,FDLT,FIDELITY,
충용,APPRO,APPROPRIATION,
충족,SUFY,SUFFICIENCY,
취급,TRMENT,TREATMENT,
취득,ACQ,ACQUISITION,
취미,HOB,HOBBY,
취소,CNCL,CANCEL,
취소자,CNCLR,UNDEFINED,
취업,EMPL,EMPLOYMENT,"직업을 얻어 직장에 나감, 직업을 얻다"
취학전아동,PRECHD,A PRESCHOOL CHILD,
측량,SVY,SURVEY,
측정,JUDT,JUDGMENT,
층,FLR,FLOOR,
치과,DENT,DENTAL,
친구,FRIEND,A FRIEND,
친절,KNDN,KINDNESS,
친절도,KNDRT,KINDNESS RATE,
카드,CARD,CARD,
캠퍼스,CAMP,CAMPUS,
컨소시엄,CONSRM,CONSORTIUM,
컴퓨터,CMPR,COMPUTER,
코드,CD,CODE,"부호. 기호(記號)의 계열을 다른 기호 계열로 표현할 때의 약속, 또는 그 기호 계열을 말한다"
코치,COACH,COACH,
쿠폰,CPN,COUPON,
퀴즈,QUIZ,QUIZ,
크기,SIZE,SIZE,"사물의 넓이, 부피, 양 따위의 큰 정도."
클래스,CLASS,CLASS,
클리닉,CLNC,CLINIC,
키,KEY,KEY,
키워드,KEYWORD,KEYWORD,
타,OTH,OHTER,
타교,OTSCH,OTHER SCHOOL,
타교생,OUTSTU,OTHER SCHOOL STUDENT,
타군,OTMIL,OTHER MILITARY,
타이틀,TTL,TITLE,
타입,TYP,TYPE,
타전공,OTMJ,OTHER MAJOR,
탁월,EXCL,EXCELLENT,
탈고,CPMS,COMPLETION OF A MANUSCRIPT,
탈락,DRP,DROP,
탈퇴,QUIT,QUIT,
탐구,SRCH,SEARCH,
탑승,RIDE,RIDE,
태도,ATTI,ATTITUDE,
테스트,TEST,TEST,설명
테이블,TABL,TABLE,
테이프,TAPE,TAPE,
토론,DISCU,DISCUSS,
토론자,DEBATR,DEBATER,
토요일,SAT,SATURDAY,
토익,TOEIC,TOEIC,
토지,LAND,LAND,
토플,TOEFL,TOEFL,
통계,STAT,STATISTICS,
통고,NOTI,NOTICE,
통과,PASS,PASS,
통관,ENTRY,ENTRY,
통보,RPRT,A REPORT,
통상,NORM,NORMALLY,
통신,COMM,COMMUNICATION,
통장,BNKBK,BANKBOOK,
통제,CTRL,CONTROL,
통학,ATNDSCH,ATTENDING SCHOOL,
통합,INTGRTN,INTEGRATION,
통화,CALL,CALL,
통화,CURNCY,CURRENCY,화폐의 단위
퇴거,QUTT,LEAVING;QUITTING,
퇴관,LVRM,LEAVING THE ROOM,
퇴근,AFWK,AFTER WORK,
퇴사,LEAVDORM,LEAVE A DORMITARY,기숙사에서 나옴
퇴사,RETI,RETIRE,
퇴실,LVRM,LEAVING THE ROOM,방에서 나옴
퇴원,LVHOS,LEAVING HOSPITAL,
퇴직,RETI,RETIRE,다니던 회사를 그만둠.
퇴직금,RETI_PAY,RETIREMENT PAY,
투고,SUBM,SUBMIT,
투숙,CHKIN,CHECK IN,
투입,INPT,INPUT,
투자,INVST,INVESTMENT,
투자조합,ICOMP,AN INVESTMENT COMPANY,
투표,BLOT,BALLOT,
튜터,TUTR,TUTOR,
튜터링,TUTRNG,TUTORING,
튜티,TUTE,TUTEE,
특기,SKIL,SKILL,
특례,SPCLEX,SPECIAL EXAMPLE,
특별,SPCL,SPECIAL,
특별세,SPTAX,SPECIAL TAX,
특성화,CHRTZN,CHARACTERIZATION,
특수,SPCL,SPECIAL,
특이,SPC,SPECIAL,
특전,PRIV,PRIVILEGE,
특징,FEAT,FEATURE,
특차,SPTM,SPECIAL TIME,
특허,PATENT,PATENT,[特許]어떤 사람의 출원으로 이루어진 공업적 발명의 전용권을 본인 또는 그 승계자에게만 부여하는 행정 행위
팀,TEAM,TEAM,
팀원,TMMBR,TEAM MEMBER,
팀장,TMCPT,TEAM CAPTAIN,
파견,DTMT,DETACHMENT,
파급,EFT,EFFECT,
파일,FILE,FILE,"서류철여러 가지 서류를 한데 모아 매어 두게 만든 도구.
<컴퓨터>하나의 단위로서 처리되는 서로 관련 있는 레코드의 집합."
판,EDT,EDITION,그림이나 글씨 따위를 새겨 찍는 데 쓰는 나무나 쇠붙이의 조각
판결,JUDGMNT,JUDGEMENT,
판매,SALE,SALE,판매
판정,JUDT,JUDGMENT,
판형,FMT,FORMAT,
패스,PASS,PASS,
패스워드,PWD,PASSWORD,
패키지,PKG,PACKAGE,
팩스,FAX,FAX,
페이지,PAGE,PAGE,
펴낸곳,PUBL_CO,A PUBLISHING COMPANY,
편,VOL,VOLUME,
편달,CNSL,COUNSEL,
편람,HNDBOOK,HANDBOOK,
편성,FORMA,ORGANIZATION,
편의,CONV,CONVENIENCE,
편입,TRANS,TRANSFER,이미 짜여진 어떤 모임이나 조직 따위에 끼어들어 감
편자,EDTR,EDITOR,
편저,CMPL,COMPILATION,
편저자,CMPLR,COMPILATION,
편제,FORMA,ORGANIZATION,
편집,EDT,EDITION,
편차,VARIA,VARIATION,
평,ACR,ACRE,"땅 넓이의 단위를 나타내는 말, 1에이커는 대략 4, 047제곱미터이며 기호는 ac이다"
평,ACR,ACREAGE,
평가,APPR,APPRAISE,사람이나 사물의 가치나 수준 따위를 일정한 기준에 의해 따져 매김
평가도구,APRTL,APPRAISE TOOL,
평가자,APPRR,APPRAISAL,평가자
평균,AVG,AVERAGE,
평방,SQUR,SQUARE,
평생,LIFE,LIFE TIME,사람이 태어나서 죽을 때까지의 살아 있는 동안
평생교육사,LIFE_EDU_LIC,LIFE_EDU_LIC,
평수,PYNO,NUMBER OF PYEONG ,평수
평점,MRKS,MARKS,학생들이 배운 지식이나 기능 등이 평가된 결과
평정,EST,ESTIMATE,
평정자,APPRR,APPRAISAL,
폐강,CLS_CLSS,CLOSE CLASS,
폐교,DIPSCHL,DIPOSAL SCHOOL,
폐기,DIPS,DISPOSAL,
폐기자,DIPSR,DISPOSALOR,
폐품,WAST,WASTE ARTICLES,
포괄,INCL,INCLUDE,
포기,GVUP,GIVE UP,
포상,PRIZE,PRIZE,
포장,PACKNG,PACKING,
포지션,POSIT,POSITION,
포트폴리오,PRTFL,PORTFOLIO,
포함,INCL,INCLUDE,
폭,WIDTH,WIDTH,
폼,FORM,FORM,
표,CHRT,CHART,
표시,DISP,DISPLAY,
표준,STAD,STANDARD,
표준편차,STAD_DEVI,STANDARD DEVIATION,
표지,COVER,COVER,
풀,POOL,POOL,
품목,ITEM,ITEM,
품의,CNST,CONSULTAION,
품절,SLDOUT,SOLD OUT,
품질,QLTY,QUALITY,
프로그램,PGM,PROGRAM,
프로시져,PROC,"PROCESS, PROCEDURE",
프리랜서,FRLNCR,FREELANCER,
프린터,PRNR,PRINTER,
프린트,PRN,PRINT,
플래그,FG,FLAG,
피고,DEFNDNT,DEFENDANT,
피드백,FDBK,FEEDBACK,
피배정,ASGNED,ASSGNED,
피크,PEAK,PEAK,
픽업,PICUP,PICKS UP,픽업
필기,TNOTE,TAKING NOTES,
